timestamp	benchmark	iteration	action	status	solver_s	invariants
2026-07-18T13:52:16	counter	0	baseline	PASS	2.0	-
2026-07-18T13:52:19	evens	0	baseline	UNKNOWN	2.7	-
2026-07-18T13:52:26	evens	1	trial	PASS	1.7	cnt[0] == 1'b0
2026-07-18T13:52:28	fifo	0	baseline	UNKNOWN	1.9	-
2026-07-18T13:52:40	fifo	1	trial	UNKNOWN	1.9	f_count == wptr - rptr; (wptr - rptr) <= 5'd8; f_count <= 5'd8
2026-07-18T13:53:12	fifo	2	trial	PASS	2.2	f_count == wptr - rptr; f_count <= 5'd8; (!f_count[AW]) || (f_count[AW-1:0] == 3'd0); f_count <= 4'd8; full == (f_count[AW] && (f_count[AW-1:0] == 3'd0))
2026-07-18T13:53:15	token_ring	0	baseline	UNKNOWN	3.0	-
2026-07-18T13:53:23	token_ring	1	trial	PASS	1.5	$onehot(token); token == 4'b0001 || token == 4'b0010 || token == 4'b0100 || token == 4'b1000; |token
2026-07-18T13:59:53	credits	0	baseline	UNKNOWN	1.7	-
2026-07-18T14:00:02	credits	1	trial	PASS	2.5	credits + in_flight + occ == TOTAL; in_flight <= TOTAL; occ + in_flight <= TOTAL; credits + occ <= TOTAL
2026-07-18T14:00:05	mult	0	baseline	UNKNOWN	2.6	-
2026-07-18T14:00:50	mult	1	trial	PASS	19.3	!busy || (32'd0 + acc + a_sh * b_rem == 32'd0 + a0 * b0); !(busy && done); !busy || (32'd0 + acc + a_sh * b_rem <= 32'd255)
2026-07-18T14:09:22	counter	0	baseline	PASS	1.7	-
2026-07-18T14:09:25	credits	0	baseline	UNKNOWN	2.2	-
2026-07-18T14:09:39	credits	1	trial	PASS	2.3	credits + in_flight + occ == TOTAL; in_flight <= TOTAL; occ <= TOTAL; credits <= TOTAL
2026-07-18T14:09:41	evens	0	baseline	UNKNOWN	1.3	-
2026-07-18T14:09:48	evens	1	trial	PASS	1.7	cnt[0] == 1'b0
2026-07-18T14:09:50	fifo	0	baseline	UNKNOWN	2.2	-
2026-07-18T14:10:03	fifo	1	trial	UNKNOWN	2.3	f_count == (wptr - rptr); (wptr - rptr) <= DEPTH; f_count <= DEPTH
2026-07-18T14:10:19	fifo	2	trial	PASS	2.8	f_count == (wptr - rptr); f_count <= DEPTH; f_count <= 4'd8; (wptr - rptr) <= 4'd8
2026-07-18T14:10:22	counter	0	baseline	PASS	2.1	-
2026-07-18T14:10:24	credits	0	baseline	UNKNOWN	2.2	-
2026-07-18T14:10:35	credits	1	trial	PASS	2.3	credits + in_flight + occ == TOTAL; in_flight <= TOTAL; credits + occ <= TOTAL; in_flight + occ <= TOTAL
2026-07-18T14:10:37	evens	0	baseline	UNKNOWN	1.8	-
2026-07-18T14:10:43	evens	1	trial	PASS	1.0	cnt[0] == 1'b0
2026-07-18T14:10:45	fifo	0	baseline	UNKNOWN	1.4	-
2026-07-18T14:10:59	fifo	1	trial	PASS	1.3	f_count == wptr - rptr; wptr - rptr == f_count; rptr + f_count == wptr; f_count[AW] == 1'b0 || f_count[AW-1:0] == {AW{1'b0}}
2026-07-18T14:11:51	mult	0	baseline	UNKNOWN	2.4	-
2026-07-18T14:12:41	mult	1	trial	PASS	27.6	!busy || ((acc + a_sh * b_rem) == (a0 * b0)); !(busy && done); !done || (acc == a0 * b0)
2026-07-18T14:12:44	token_ring	0	baseline	UNKNOWN	2.5	-
2026-07-18T14:12:49	token_ring	1	trial	PASS	1.6	$onehot(token)
2026-07-18T14:19:57	evens	0	baseline	UNKNOWN	2.7	-
